"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,29184,"; _ZN56MmtKernel_256t_MSxNS_amdgcn_smfmac_i32_16x16x64i8_sharedILi4ELi8EE3runEPKvS2_PvS3_iii",0,0,0,0,"MmtKernel_256t_MSxNS_amdgcn_smfmac_i32_16x16x64i8_shared<4, 8>::run(void const*, void const*, void*, void*, int, int, int)"
2,29184,"s_load_dwordx4 s[4:7], s[0:1], 0x0",4,16,0,124,""
2,29192,"s_load_dwordx2 s[8:9], s[0:1], 0x10",4,16,0,0,""
2,29200,"s_load_dwordx2 s[10:11], s[0:1], 0x24",4,16,0,0,""
2,29208,"v_mov_b32_e32 v5, 0",4,16,0,0,""
2,29212,"v_lshrrev_b32_e32 v1, 6, v0",4,16,0,0,""
2,29216,"v_and_b32_e32 v13, 15, v0",4,16,0,0,""
2,29220,"v_bfe_u32 v12, v0, 4, 2",4,16,0,0,""
2,29228,"s_mov_b32 s13, 0",4,16,0,0,""
2,29232,"s_waitcnt lgkmcnt(0)",4,2416,2416,0,""
2,29236,"s_cmp_lt_i32 s11, 1",4,16,0,0,""
2,29240,"v_mov_b32_e32 v4, v5",4,16,0,0,""
2,29244,"v_mov_b32_e32 v3, v5",4,16,0,0,""
2,29248,"v_mov_b32_e32 v2, v5",4,16,0,0,""
2,29252,"s_cbranch_scc1 235",4,16,0,0,""
2,29256,"s_mul_i32 s0, s2, s11",4,16,0,0,""
2,29260,"s_lshl_b32 s12, s0, 8",4,16,0,0,""
2,29264,"s_lshl_b64 s[0:1], s[12:13], 4",4,16,0,0,""
2,29268,"s_add_u32 s0, s4, s0",4,16,0,0,""
2,29272,"s_addc_u32 s1, s5, s1",4,16,0,0,""
2,29276,"v_lshlrev_b32_e32 v6, 4, v0",4,16,0,0,""
2,29280,"v_mov_b32_e32 v7, 0",4,16,0,0,""
2,29284,"v_and_b32_e32 v2, 1, v0",4,16,0,0,""
2,29288,"v_lshl_add_u64 v[8:9], s[0:1], 0, v[6:7]",4,16,0,0,""
2,29296,"s_mul_i32 s0, s3, s11",4,16,0,0,""
2,29300,"v_mov_b32_e32 v3, 0xeeee",4,16,0,0,""
2,29308,"v_mov_b32_e32 v4, 0x4444",4,16,0,0,""
2,29316,"v_cmp_eq_u32_e32 vcc, 0, v2",4,16,0,0,""
2,29320,"s_lshl_b32 s12, s0, 11",4,16,0,64,""
2,29324,"v_lshlrev_b32_e32 v2, 3, v0",4,16,0,0,""
2,29328,"v_cndmask_b32_e32 v14, v3, v4, vcc",4,16,0,0,""
2,29332,"v_lshrrev_b32_e32 v3, 5, v0",4,16,0,0,""
2,29336,"s_lshl_b64 s[0:1], s[12:13], 4",4,16,0,0,""
2,29340,"v_and_or_b32 v2, v2, 24, v3",4,16,0,0,""
2,29348,"s_add_u32 s0, s6, s0",4,16,0,0,""
2,29352,"v_lshlrev_b32_e32 v3, 7, v0",4,16,0,0,""
2,29356,"s_addc_u32 s1, s7, s1",4,16,0,0,""
2,29360,"v_and_b32_e32 v3, 0xe00, v3",4,16,0,0,""
2,29368,"v_lshlrev_b32_e32 v2, 2, v2",4,16,0,0,""
2,29372,"s_mov_b32 s4, 0x8000",4,16,0,0,""
2,29380,"v_lshl_add_u64 v[10:11], s[0:1], 0, v[6:7]",4,16,0,0,""
2,29388,"s_movk_i32 s0, 0x100",4,16,0,0,""
2,29392,"v_or3_b32 v15, v3, v2, s4",4,16,0,0,""
2,29400,"v_lshlrev_b32_e32 v3, 1, v0",4,16,0,0,""
2,29404,"v_cmp_gt_u32_e64 s[0:1], s0, v0",4,16,0,0,""
2,29412,"v_lshlrev_b32_e32 v2, 5, v12",4,16,0,0,""
2,29416,"v_and_b32_e32 v3, 28, v3",4,16,0,0,""
2,29420,"v_lshlrev_b32_e32 v0, 8, v0",4,16,0,0,""
2,29424,"v_or3_b32 v2, v2, v3, s4",4,16,0,0,""
2,29432,"v_and_b32_e32 v0, 0x100, v0",4,16,0,0,""
2,29440,"v_lshlrev_b32_e32 v3, 9, v13",4,16,0,0,""
2,29444,"v_lshl_or_b32 v3, v1, 13, v3",4,16,0,0,""
2,29452,"v_lshlrev_b32_e32 v4, 4, v12",4,16,0,0,""
2,29456,"v_add_u32_e32 v0, v2, v0",4,16,0,0,""
2,29460,"v_add_u32_e32 v16, v3, v4",4,16,0,0,""
2,29464,"s_mov_b64 s[4:5], 0x8000",4,16,0,0,""
2,29472,"v_add_u32_e32 v17, 0x400, v0",4,16,0,0,""
2,29480,"v_add_u32_e32 v18, 0x800, v0",4,16,0,0,""
2,29488,"v_add_u32_e32 v19, 0xc00, v0",4,16,0,0,""
2,29496,"s_mov_b32 s12, s13",4,16,0,0,""
2,29500,"v_mov_b32_e32 v2, v7",4,16,0,0,""
2,29504,"v_mov_b32_e32 v3, v7",4,16,0,0,""
2,29508,"v_mov_b32_e32 v4, v7",4,16,0,0,""
2,29512,"v_mov_b32_e32 v5, v7",4,16,0,0,""
2,29516,"s_branch 149",4,16,0,0,""
2,29520,"s_or_b64 exec, exec, s[6:7]",4,16,0,64,""
